age_id,age_group,min_age,max_age,age_type,age_label
1,TOTAL,,,TOTAL,All ages
2,Y11-15,11.0,15.0,RANGE,11-15 years
3,Y12-17,12.0,17.0,RANGE,12-17 years
4,Y16-24,16.0,24.0,RANGE,16-24 years
5,Y16-64,16.0,64.0,RANGE,16-64 years
6,Y18-24,18.0,24.0,RANGE,18-24 years
7,Y18-64,18.0,64.0,RANGE,18-64 years
8,Y25-49,25.0,49.0,RANGE,25-49 years
9,Y25-54,25.0,54.0,RANGE,25-54 years
10,Y50-64,50.0,64.0,RANGE,50-64 years
11,Y55-64,55.0,64.0,RANGE,55-64 years
12,Y6-10,6.0,10.0,RANGE,6-10 years
13,Y6-11,6.0,11.0,RANGE,6-11 years
14,Y65-74,65.0,74.0,RANGE,65-74 years
15,Y_GE16,16.0,,OPEN_ENDED,16+ years
16,Y_GE18,18.0,,OPEN_ENDED,18+ years
17,Y_GE60,60.0,,OPEN_ENDED,60+ years
18,Y_GE65,65.0,,OPEN_ENDED,65+ years
19,Y_GE75,75.0,,OPEN_ENDED,75+ years
20,Y_LT16,,15.0,UPPER_BOUNDED,Under 16 years
21,Y_LT18,,17.0,UPPER_BOUNDED,Under 18 years
22,Y_LT6,,5.0,UPPER_BOUNDED,Under 6 years
23,Y_LT60,,59.0,UPPER_BOUNDED,Under 60 years
24,Y_LT65,,64.0,UPPER_BOUNDED,Under 65 years
25,Y_LT75,,74.0,UPPER_BOUNDED,Under 75 years
